From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
3AML	Q01401	reviewed	GLGB_ORYSJ	1,4-alpha-glucan-branching enzyme, chloroplastic/amyloplastic (EC 2.4.1.18) (Q-enzyme) (Starch-branching enzyme)	SBE1 RBE1 Os06g0726400 LOC_Os06g51084 P0017G10.8-1 P0017G10.8-2 P0548E04.28-1 P0548E04.28-2	Oryza sativa subsp. japonica (Rice)	820
6R41	P22747	reviewed	MGP3_MYCGE	Mgp-operon protein 3 (Mgp3) (ORF-3 protein)	MG192	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	1053
6AOK	Q5ZZB5	unreviewed	Q5ZZB5_LEGPH	Dot/Icm T4SS effector	lpg0096	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	397
2BJQ	Q7YXK2	unreviewed	Q7YXK2_ASCSU	MFP2		Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	345
4X2R	C0W7K4	unreviewed	C0W7K4_9ACTO	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA HMPREF0058_1848	Actinomyces urogenitalis DSM 15434	247
1DQG	Q61830	reviewed	MRC1_MOUSE	Macrophage mannose receptor 1 (MMR) (CD antigen CD206)	Mrc1	Mus musculus (Mouse)	1456
4F3N	Q2T1U7	unreviewed	Q2T1U7_BURTA	Uncharacterized ACR, COG1565 superfamily	BTH_I0294	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264)	410
3ISX	Q9X0E0	unreviewed	Q9X0E0_THEMA	Endoglucanase	TM_1050	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	331
4IAU	O18426	unreviewed	O18426_GEOCY	Beta-gamma-crystallin		Geodia cydonium (Sponge)	163
6HUN	A2BK54	unreviewed	A2BK54_HYPBU	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	rbcL Hbut_0503	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	441
2Y1B	P69411	reviewed	RCSF_ECOLI	Outer membrane lipoprotein RcsF	rcsF b0196 JW0192	Escherichia coli (strain K12)	134
3ISQ	P32754	reviewed	HPPD_HUMAN	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	HPD PPD	Homo sapiens (Human)	393
5ZDM	D2SNF7	unreviewed	D2SNF7_STRFR	FomD	fomD	Streptomyces fradiae (Streptomyces roseoflavus)	207
4W79	Q96HA8	reviewed	NTAQ1_HUMAN	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (WDYHV motif-containing protein 1)	NTAQ1 C8orf32 WDYHV1	Homo sapiens (Human)	205
2I9I	O25234	unreviewed	O25234_HELPY	Neuraminyllactose-binding hemagglutinin (Flagellar sheath adhesin) (N-acetylneuraminyllactose-binding fibrillar hemagglutinin receptor-binding subunit)	HP_0492	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	278
5KZZ	Q98SW5	unreviewed	Q98SW5_XENLA	Protein smoothened	smo.S Smo smo XSmo	Xenopus laevis (African clawed frog)	814
7A3H	O85465	reviewed	GUN5_SALAG	Endoglucanase 5A (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase 5A)	cel5A	Salipaludibacillus agaradhaerens (Bacillus agaradhaerens)	400
2ZB4	Q8N8N7	reviewed	PTGR2_HUMAN	Prostaglandin reductase 2 (PRG-2) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase) (Zinc-binding alcohol dehydrogenase domain-containing protein 1)	PTGR2 ZADH1	Homo sapiens (Human)	351
1W0H	Q8IV48	reviewed	ERI1_HUMAN	3'-5' exoribonuclease 1 (EC 3.1.-.-) (3'-5' exonuclease ERI1) (Eri-1 homolog) (Histone mRNA 3'-end-specific exoribonuclease) (Histone mRNA 3'-exonuclease 1) (Protein 3'hExo) (HEXO)	ERI1 3'EXO THEX1	Homo sapiens (Human)	349
2HUH	Q8A5Q9	unreviewed	Q8A5Q9_BACTN	DNA mismatch repair protein	BT_2179	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	354
2IXA	A4Q8F7	reviewed	GH109_ELIME	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Glycosyl hydrolase family 109 protein)	nagA	Elizabethkingia meningoseptica (Chryseobacterium meningosepticum)	444
5O29	Q9JXP1	unreviewed	Q9JXP1_NEIMB	Soluble lytic murein transglycosylase	NMB1949	Neisseria meningitidis serogroup B (strain MC58)	616
6A1A	O52792	reviewed	HMO_AMYOR	4-hydroxymandelate oxidase (EC 1.1.3.46)	hmo	Amycolatopsis orientalis (Nocardia orientalis)	357
4KRR	Q9VFX1	reviewed	WNT8_DROME	Wnt inhibitor of Dorsal protein (Protein Wnt-8) (dWnt-8)	wntD Wnt8 CG8458	Drosophila melanogaster (Fruit fly)	309
3IGH	O58866	unreviewed	O58866_PYRHO	Amidohydrolase 3 domain-containing protein	PH1139	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	494
3VMN	Q54443	reviewed	DEXT_STRMU	Dextranase (EC 3.2.1.11) (Alpha-1,6-glucan-6-glucanohydrolase)	dexA SMU_2042	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	850
1J0P	P00132	reviewed	CYC3_DESVM	Cytochrome c3	DvMF_2499	Desulfovibrio vulgaris (strain DSM 19637 / Miyazaki F)	130
6EQE	A0A0K8P6T7	reviewed	PETH_IDESA	Poly(ethylene terephthalate) hydrolase (PET hydrolase) (PETase) (EC 3.1.1.101) (PET-digesting enzyme)	ISF6_4831	Ideonella sakaiensis (strain NBRC 110686 / TISTR 2288 / 201-F6)	290
2G3R	Q12888	reviewed	TP53B_HUMAN	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	Homo sapiens (Human)	1972
1TUW	P39890	reviewed	TCMI_STRGA	Tetracenomycin F2 cyclase (EC 4.2.1.154) (Tetracenomycin polyketide synthesis protein TcmI)	tcmI	Streptomyces glaucescens	109
4X9M	P75063	reviewed	GLPO_MYCPN	Glycerol 3-phosphate oxidase (GlpO) (EC 1.1.3.21) (L-alpha-glycerophosphate oxidase)	glpD MPN_051 D09_orf384 MP103	Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) (Mycoplasmoides pneumoniae)	384
4XJV	Q9NV23	reviewed	SAST_HUMAN	S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Augmented in rheumatoid arthritis 1) (AURA1) (Oleoyl-ACP hydrolase) (Thioesterase 2) (TE2) (Thioesterase II) (Thioesterase domain-containing protein 1)	OLAH THEDC1	Homo sapiens (Human)	265
6P3P	Q07820	reviewed	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	Homo sapiens (Human)	350
3HJE	Q973H2	unreviewed	Q973H2_SULTO	Maltooligosyltrehalose synthase (EC 5.4.99.15)	treY mts ST0929 STK_09290	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	704
5A6M	A3DJS9	unreviewed	A3DJS9_ACET2	Carbohydrate binding family 6	Cthe_3012	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	630
4MDW	O05503	reviewed	YDHK_BACSU	Uncharacterized protein YdhK	ydhK BSU05790	Bacillus subtilis (strain 168)	205
2AZW	Q836H1	unreviewed	Q836H1_ENTFA	MutT/nudix family protein	EF_1141	Enterococcus faecalis (strain ATCC 700802 / V583)	148
5XEV	Q9RX37	unreviewed	Q9RX37_DEIRA	Peptidase-related protein	DR_0478	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1)	312
2DXA	P0AAR3	reviewed	YBAK_ECOLI	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK b0481 JW0470	Escherichia coli (strain K12)	159
3H6N	Q9Y4D7	reviewed	PLXD1_HUMAN	Plexin-D1	PLXND1 KIAA0620	Homo sapiens (Human)	1925
3CE8	A3CYS0	unreviewed	A3CYS0_SHEB5	DUF3240 domain-containing protein	Sbal_0098	Shewanella baltica (strain OS155 / ATCC BAA-1091)	101
1K4N	P52007	reviewed	YECM_ECOLI	Protein YecM	yecM yecL b1875 JW5309	Escherichia coli (strain K12)	188
2ZFN	Q07794	reviewed	RT109_YEAST	Histone acetyltransferase RTT109 (EC 2.3.1.48) (Regulator of Ty1 transposition protein 109)	RTT109 KAT11 KIM2 REM50 YLL002W L1377	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436
1Z1S	Q9HYR3	reviewed	Y3332_PSEAE	Uncharacterized PhzA/B-like protein PA3332	PA3332	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	141
1UTG	P02779	reviewed	UTER_RABIT	Uteroglobin (Blastokinin) (Secretoglobin family 1A member 1)	SCGB1A1 UGB UGL	Oryctolagus cuniculus (Rabbit)	91
4MT2	P04355	reviewed	MT2_RAT	Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II)	Mt2	Rattus norvegicus (Rat)	61
3HXR	P35729	reviewed	NU120_YEAST	Nucleoporin NUP120 (Nuclear pore protein NUP120)	NUP120 RAT2 YKL057C YKL313 YKL314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1037
2C0Z	Q9L9E5	reviewed	NOVW_STRNV	dTDP-4-dehydrorhamnose 3-epimerase (EC 5.1.3.-) (Novobiocin biosynthesis protein W) (dTDP-6-deoxy-D-xylo-4-hexulose 3-epimerase)	novW	Streptomyces niveus (Streptomyces spheroides)	207
2UU8	P02866	reviewed	CONA_CANEN	Concanavalin-A (Con A)		Canavalia ensiformis (Jack bean) (Dolichos ensiformis)	290
6H4D	Q9HUL3	reviewed	RSGA_PSEAE	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA PA4952	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	339
1UOY	P83799	reviewed	BUBL_PENBR	Bubble protein		Penicillium brevicompactum	64
3VGI	Q9V2T0	unreviewed	Q9V2T0_9EURY	Endoglucanase A	eglA	Pyrococcus furiosus	319
2Z84	Q9CZP0	reviewed	UFSP1_MOUSE	Ufm1-specific protease 1 (UfSP1) (EC 3.4.22.-)	Ufsp1 D5Ertd655e	Mus musculus (Mouse)	217
5L1A	Q5ZT91	unreviewed	Q5ZT91_LEGPH	DUF5638 domain-containing protein	lpg2271	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	216
3NPH	P73204	reviewed	PYR2_SYNY3	Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 2 (LR30)	cpcC2 sll1579	Synechocystis sp. (strain PCC 6803 / Kazusa)	273
1EJ8	P40202	reviewed	CCS1_YEAST	Superoxide dismutase 1 copper chaperone	CCS1 LYS7 YMR038C YM9532.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	249
