PDB_ID,THSA,RHSA,LHP
1cnt-3,2213.0,0.26583,0.0
1cq3-B,2028.0,0.17968,0.0
1cr1-A,3154.0,0.25192,379.0
1cr5-A,2328.0,0.25582,0.0
1cs0-G,7862.0,0.21219,0.0
1cuk-A,2954.0,0.26999,1226.0
1cv8-A,1839.0,0.20891,410.0
1cwv-A,5684.0,0.24275,750.0
1cxz-B,1710.0,0.28037,568.0
1cy5-A,1097.0,0.21194,0.0
1cyw-A,2240.0,0.29567,1277.0
1d02-B,2858.0,0.24323,0.0
1d0d-A,1064.0,0.23231,763.0
1d0q-A,1391.0,0.22267,405.0
1d2n-A,2946.0,0.21775,1727.0
1d2o-A,1222.0,0.11635,158.0
1d2s-A,1802.0,0.20871,765.0
1d2t-A,2588.0,0.25392,2073.0
1d2z-D,2639.0,0.28459,0.0
1d3b-B,1476.0,0.25158,1362.0
1d3b-I,1286.0,0.26848,813.0
1d3y-A,2967.0,0.20643,0.0
1d4o-A,2222.0,0.2542,906.0
1d4t-A,1806.0,0.27514,0.0
1d8h-B,4138.0,0.25581,0.0
1d8w-D,4581.0,0.25779,0.0
1d9c-B,3018.0,0.29614,0.0
1dab-A,5026.0,0.23088,679.0
1dbh-A,3685.0,0.19194,0.0
1dc1-B,3901.0,0.2243,0.0
1dcs-A,3121.0,0.24333,1673.0
1dd9-A,2738.0,0.17888,401.0
1dfm-A,2624.0,0.22262,859.0
1dfu-P,1484.0,0.24541,0.0
1dg6-A,2237.0,0.24478,2101.0
1dj0-A,3774.0,0.29195,1291.0
1dj7-A,1344.0,0.21629,675.0
1dj8-D,1253.0,0.22496,1072.0
1dk8-A,2134.0,0.22144,412.0
1dle-B,2357.0,0.17,0.0
1dm9-A,1801.0,0.26642,0.0
1dmg-A,2085.0,0.20556,682.0
1dmu-A,4247.0,0.28128,0.0
1dp4-A,4778.0,0.25633,1445.0
1dp7-P,1422.0,0.26097,419.0
1dpj-B,893.0,0.29658,587.0
1dqg-A,1791.0,0.25056,963.0
1dqp-B,2878.0,0.22954,1388.0
1ds1-A,2995.0,0.22187,1069.0
1dtd-B,1083.0,0.26994,0.0
1dun-A,2229.0,0.26894,1671.0
1dvk-B,2658.0,0.30771,0.0
1dvo-A,2842.0,0.26711,1207.0
1dwk-E,4602.0,0.40024,3665.0
1dyp-A,2680.0,0.21767,464.0
1dzf-A,2829.0,0.2096,762.0
1dzk-A,1803.0,0.21868,456.0
1e30-A,1882.0,0.25823,831.0
1e5k-A,2235.0,0.24939,493.0
1e6u-A,3900.0,0.26841,1001.0
1e7l-A,3130.0,0.25713,1507.0
1e9r-F,3944.0,0.20669,643.0
1eaj-B,1693.0,0.25938,745.0
1eaq-B,1558.0,0.21439,0.0
1eay-D,1242.0,0.3072,717.0
1eaz-A,1888.0,0.29408,614.0
1eb6-A,1397.0,0.17053,792.0
1ed1-A,1147.0,0.16696,370.0
1eej-A,2810.0,0.24133,0.0
1eer-A,2498.0,0.2544,0.0
1eer-C,2910.0,0.25867,1019.0
1eex-A,6439.0,0.29529,1423.0
1eex-B,2136.0,0.24451,0.0
1eex-M,2673.0,0.29552,0.0
1ef1-C,2581.0,0.29336,528.0
1efd-N,2926.0,0.26205,724.0
1efy-A,3193.0,0.19546,919.0
1egw-C,2464.0,0.37774,1952.0
1ehy-B,3197.0,0.26755,0.0
1ei5-A,4579.0,0.22043,658.0
1ei9-A,3451.0,0.26808,1487.0
1ej8-A,1746.0,0.2363,798.0
1ejd-B,3687.0,0.21285,0.0
1ejf-B,1334.0,0.19658,884.0
1ek9-B,7034.0,0.28849,0.0
1ekq-A,2577.0,0.23727,0.0
1el6-A,4147.0,0.31961,0.0
1elk-B,1806.0,0.21681,0.0
1elw-B,1351.0,0.20234,326.0
1em9-B,2158.0,0.29103,0.0
1eok-A,2072.0,0.18744,413.0
1epf-B,2950.0,0.26382,0.0
1epu-A,4940.0,0.1907,0.0
1eq2-I,3618.0,0.27144,0.0
1es5-A,2232.0,0.20981,512.0
1es9-A,1763.0,0.17833,765.0
1et1-B,1436.0,0.40101,1436.0
1ete-D,1794.0,0.23133,669.0
1euv-A,2115.0,0.18579,0.0
1euv-B,812.0,0.15115,0.0
1ev7-B,2747.0,0.1749,0.0
1evl-D,3884.0,0.20827,504.0
1evs-A,1787.0,0.19125,488.0
1ew4-A,1015.0,0.15994,314.0
1ewf-A,5176.0,0.23307,1400.0
1ez3-B,1236.0,0.14548,0.0
1ezg-B,641.0,0.15945,230.0
1ezi-B,3144.0,0.2867,0.0
1ezj-A,3652.0,0.3714,1564.0
1f00-I,2421.0,0.16891,503.0
1f0k-B,4282.0,0.27731,1715.0
1f0x-B,4023.0,0.19433,0.0
1f1e-A,1369.0,0.1846,510.0
1f1m-C,1841.0,0.18975,668.0
1f2t-A,2852.0,0.29384,0.0
1f2t-B,2838.0,0.29705,1135.0
1f32-A,2131.0,0.26344,692.0
1f35-B,1988.0,0.20607,845.0
1f3m-B,1764.0,0.26176,538.0
1f3u-C,2453.0,0.26306,0.0
1f3u-H,3471.0,0.27487,0.0
1f3v-A,2004.0,0.23974,701.0
1f46-B,1870.0,0.22744,0.0
1f5n-A,6221.0,0.20821,0.0
1f5q-B,4101.0,0.31959,2098.0
1f5v-B,4283.0,0.29861,934.0
1f9v-A,2954.0,0.19064,0.0
1fc3-B,1556.0,0.23279,0.0
1fc6-A,3726.0,0.22019,1134.0
1fcq-A,3312.0,0.22381,578.0
1fcy-A,2962.0,0.25379,652.0
1fep-A,11162.0,0.38739,0.0
1feu-A,2450.0,0.21431,571.0
1ffy-A,8799.0,0.21133,2164.0
1fg7-A,3993.0,0.2477,0.0
1fi8-C,2275.0,0.31336,0.0
1fi8-D,2990.0,0.4888,0.0
1fiu-D,3745.0,0.26087,1774.0
1fj2-B,2907.0,0.28065,0.0
1fjh-B,4064.0,0.36108,0.0
1fjr-B,3234.0,0.30134,2087.0
1fkm-A,3209.0,0.20423,0.0
1flt-Y,1786.0,0.2848,450.0
1fm0-D,1324.0,0.26338,676.0
1fm0-E,2222.0,0.25931,0.0
1fn9-A,3811.0,0.2264,793.0
1fnn-B,3943.0,0.21492,866.0
1fo8-A,3296.0,0.22185,1012.0
1fob-A,3380.0,0.27122,618.0
1fp2-A,5228.0,0.26676,0.0
1fpo-B,2836.0,0.25973,0.0
1fpz-C,1964.0,0.2203,668.0
1fs0-G,3452.0,0.29389,0.0
1fs7-A,5060.0,0.22929,0.0
1ft5-A,2389.0,0.18466,913.0
1ftr-D,3887.0,0.2801,0.0
1fvi-A,3531.0,0.256,900.0
1fxk-C,3468.0,0.35108,0.0
1fye-A,2424.0,0.2434,630.0
1g12-A,1965.0,0.2691,820.0
1g2r-A,1199.0,0.18566,477.0
1g2y-C,1437.0,0.48861,1195.0
1g3k-A,2208.0,0.2587,995.0
1g3p-A,3012.0,0.28375,0.0
1g5a-A,5120.0,0.21008,617.0
1g5h-A,5339.0,0.25539,0.0
1g5t-A,2225.0,0.26017,795.0
1g60-B,3658.0,0.27721,0.0
1g61-A,2108.0,0.21252,0.0
1g66-A,1806.0,0.22522,832.0
1g6g-A,1405.0,0.1998,0.0
1g8a-A,2586.0,0.22012,720.0
1g8e-B,2168.0,0.327,0.0
1g8k-G,5667.0,0.18894,0.0
1g8m-B,7205.0,0.25561,0.0
1g8p-A,3602.0,0.22012,954.0
1g8q-B,1464.0,0.27329,0.0
1ga6-A,3230.0,0.24881,1189.0
1gak-A,2316.0,0.2789,1017.0
1ghe-A,2545.0,0.29631,876.0
1gjw-A,4891.0,0.19068,578.0
1gk6-A,2350.0,0.42274,1649.0
1gk9-A,5166.0,0.34412,0.0
1gkm-A,6286.0,0.30306,0.0
1gl4-A,3193.0,0.23208,701.0
1gmi-A,2149.0,0.27833,462.0
1gml-C,2062.0,0.22947,0.0
1gmu-A,2441.0,0.30376,858.0
1gmx-A,1773.0,0.29383,0.0
1gnl-B,4877.0,0.24674,1177.0
1gny-A,1841.0,0.2457,1005.0
1go3-F,2818.0,0.36977,1684.0
1go3-M,3604.0,0.35574,1561.0
1gp0-A,1647.0,0.22194,881.0
1gp6-A,4186.0,0.25269,0.0
1gpj-A,4189.0,0.19309,1580.0
1gpp-A,2996.0,0.24189,719.0
1gpr-A,1402.0,0.18452,568.0
1gqe-A,4020.0,0.20253,919.0
1gqi-B,5079.0,0.1985,831.0
1gsa-A,3422.0,0.24788,748.0
1gsm-A,2681.0,0.22448,1496.0
1gtt-C,3469.0,0.19982,0.0
1gu2-B,1787.0,0.2296,597.0
1gu3-A,1713.0,0.24761,779.0
1gu4-A,1682.0,0.25578,735.0
1gu7-A,3637.0,0.21416,526.0
1gu9-F,2877.0,0.33218,1959.0
1gui-A,1817.0,0.23876,356.0
1gut-E,1970.0,0.36651,0.0
1gv9-A,2412.0,0.23273,786.0
1gve-B,2934.0,0.22174,0.0
1gvf-B,3174.0,0.25883,0.0
1gvn-B,2802.0,0.19206,0.0
1gwm-A,2171.0,0.24814,1650.0
1gxm-B,2894.0,0.20677,632.0
1gxr-A,3544.0,0.24242,0.0
1gxu-A,1231.0,0.23843,614.0
1gxy-A,2289.0,0.2064,406.0
1gy7-B,1955.0,0.26298,586.0
1gyx-A,1871.0,0.31814,1660.0
1gzs-D,2132.0,0.21516,480.0
1h0h-B,2999.0,0.28513,0.0
1h16-A,5557.0,0.21285,513.0
1h21-B,4414.0,0.32337,0.0
1h2b-A,3859.0,0.24815,1648.0
1h2c-A,2750.0,0.36246,1424.0
1h30-A,5102.0,0.26459,739.0
1h32-A,3590.0,0.28667,939.0
1h3o-A,1530.0,0.34444,0.0
1h4x-B,1902.0,0.29194,0.0
1h5w-B,5196.0,0.32217,0.0
1h6d-K,5004.0,0.27173,1232.0
1h6f-B,2452.0,0.23011,697.0
1h6g-A,3610.0,0.25848,552.0
1h6h-A,3218.0,0.33114,901.0
1h6k-C,7030.0,0.21244,0.0
1h6y-B,1901.0,0.26498,666.0
1h72-C,3689.0,0.27774,2580.0
1h80-B,3615.0,0.1979,0.0
1h8p-B,2486.0,0.41873,1631.0
1h97-B,1394.0,0.17528,292.0
1h99-A,4281.0,0.30972,990.0
1hcu-B,3330.0,0.20094,688.0
1hdh-B,4437.0,0.23033,0.0
1hdo-A,2388.0,0.24608,476.0
1he1-B,1823.0,0.25169,917.0
1hf2-C,2448.0,0.21737,0.0
1hfe-T,3022.0,0.33679,0.0
1hh8-A,2597.0,0.24654,762.0
1hi9-B,3139.0,0.25757,842.0
1hk8-A,5918.0,0.2451,1526.0
1hlb-A,2623.0,0.26839,1484.0
1hlv-A,1991.0,0.20604,0.0
1hn0-A,6173.0,0.16641,789.0
1hp1-A,4152.0,0.19553,375.0
1hq0-A,3218.0,0.24479,798.0
1hq1-A,1027.0,0.2028,0.0
1hqz-7,1559.0,0.2207,1263.0
1hr6-F,4147.0,0.2093,774.0
1hru-A,2387.0,0.25587,1086.0
1htw-A,2468.0,0.2789,865.0
1hul-A,3013.0,0.33319,1730.0
1huw-A,2900.0,0.3037,589.0
1hw7-A,4114.0,0.26631,2362.0
1hx3-B,2652.0,0.30222,1135.0
1hx6-B,5788.0,0.32926,1675.0
1hx8-A,3166.0,0.24175,0.0
1hxi-A,2589.0,0.36965,952.0
1hxr-B,1600.0,0.26931,1201.0
1hyo-A,4237.0,0.2322,0.0
1hz4-A,3836.0,0.22235,1019.0
1hzt-A,2602.0,0.32084,1340.0
1i0r-A,2728.0,0.29186,2489.0
1i12-B,2760.0,0.2723,0.0
1i1q-A,5334.0,0.25089,0.0
1i1r-B,3207.0,0.33786,2129.0
1i1w-A,2144.0,0.19289,590.0
1i24-A,4125.0,0.2587,1222.0
1i27-A,1000.0,0.18843,484.0
1i2k-A,3382.0,0.25809,596.0
1i2t-A,1342.0,0.33292,707.0
1i3j-A,2169.0,0.25392,1069.0
1i4d-A,3884.0,0.30665,0.0
1i4j-B,2125.0,0.27716,0.0
1i4u-B,2830.0,0.29531,0.0
1i58-A,1786.0,0.1746,466.0
1i5p-A,5125.0,0.22341,1055.0
1i60-A,2045.0,0.16905,0.0
1i7d-A,5558.0,0.18225,1549.0
1i7w-D,3344.0,0.47092,0.0
1i88-A,4435.0,0.26108,0.0
1i8a-A,2289.0,0.2812,923.0
1i8n-B,1155.0,0.21658,0.0
1i9z-A,3409.0,0.21216,0.0
1iap-A,2386.0,0.22099,460.0
1iar-B,3599.0,0.32529,0.0
1id0-A,1999.0,0.23954,525.0
1id1-B,2236.0,0.2588,1561.0
1idp-C,2338.0,0.27662,1273.0
1ifr-A,890.0,0.14158,276.0
1igq-C,1242.0,0.28395,1008.0
1ii5-A,2874.0,0.27876,694.0
1iib-B,1920.0,0.32155,1330.0
1ikt-A,1934.0,0.28922,1380.0
1im3-P,2039.0,0.35498,0.0
1in4-A,3469.0,0.2289,652.0
1inl-D,4075.0,0.29738,0.0
1io0-A,1614.0,0.19198,171.0
1iq4-A,2554.0,0.23642,0.0
1iq5-B,1015.0,0.38015,804.0
1irq-B,1801.0,0.35991,0.0
1is3-A,1573.0,0.22728,580.0
1it2-B,1666.0,0.19947,0.0
1itb-B,4408.0,0.24358,1610.0
1ith-B,2501.0,0.34284,730.0
1iuj-A,1791.0,0.25524,1457.0
1iuq-A,3835.0,0.22476,0.0
1ixl-A,2290.0,0.29974,898.0
1ixv-A,2788.0,0.24586,0.0
1izc-A,5188.0,0.33521,2510.0
1izm-A,1780.0,0.19897,445.0
1j1t-A,1532.0,0.16267,220.0
1j24-A,1800.0,0.23597,1441.0
1j27-A,2408.0,0.3971,1362.0
1j2j-B,925.0,0.24208,718.0
1j34-C,2151.0,0.55943,0.0
1j3a-A,1431.0,0.18626,212.0
1j3w-B,2514.0,0.32828,901.0
1j5u-A,1396.0,0.17485,654.0
1j5w-B,3665.0,0.28037,0.0
1j5y-A,2736.0,0.25683,875.0
1j6r-B,2406.0,0.21503,485.0
1j77-A,2852.0,0.26972,772.0
1j7d-A,1636.0,0.19857,0.0
1j7x-A,4481.0,0.2916,0.0
1j83-A,1468.0,0.1922,421.0
1j8b-A,2170.0,0.3202,686.0
1j98-A,1928.0,0.22914,0.0
1jad-B,3629.0,0.21034,819.0
1jay-A,2488.0,0.24011,1360.0
1jb0-A,18685.0,0.49359,0.0
1jb0-D,2230.0,0.23474,888.0
1jb0-E,1624.0,0.32888,524.0
1jb0-F,4381.0,0.41404,3963.0
1jb0-J,2649.0,0.62728,2429.0
1jb0-K,1587.0,0.52084,0.0
1jb0-M,2205.0,0.65998,2205.0
1jb0-X,2331.0,0.79856,2331.0
1jb3-A,2346.0,0.30259,714.0
1jb7-A,5414.0,0.23059,0.0
1jb7-B,3365.0,0.24598,1020.0
1jcd-A,1249.0,0.27046,1101.0
1jdw-A,2679.0,0.19726,779.0
1je5-B,3576.0,0.28825,0.0
1jek-A,1826.0,0.46053,1826.0
1jey-A,9222.0,0.28368,0.0
1jey-B,9614.0,0.27362,0.0
1jf3-A,1987.0,0.26913,753.0
1jfb-A,4208.0,0.22737,1207.0
1jfu-B,1683.0,0.19934,1216.0
1jg1-A,2534.0,0.25593,811.0
1jh6-B,1795.0,0.19116,549.0
1jhc-A,1918.0,0.24555,600.0
1jhj-A,1529.0,0.17524,300.0
1jhs-A,2387.0,0.22785,1359.0
1ji7-C,1226.0,0.21226,775.0
1jid-A,1879.0,0.26442,723.0
1jix-A,3498.0,0.21412,604.0
1jke-B,2086.0,0.26016,1185.0
1jl1-A,1691.0,0.19468,1134.0
1jl5-A,2858.0,0.17495,0.0
1jly-A,3563.0,0.25541,0.0
1jm1-A,2046.0,0.23631,655.0
1jmk-C,2142.0,0.19292,0.0
1jmv-A,2229.0,0.27648,1150.0
1jni-A,1499.0,0.30856,1348.0
1jnr-A,6437.0,0.26629,929.0
1jo0-B,1148.0,0.18888,628.0
1jof-C,3481.0,0.24204,369.0
1jog-D,2686.0,0.33006,583.0
1jos-A,1977.0,0.27782,965.0
1jov-A,2771.0,0.22419,1264.0
1jql-B,2213.0,0.29004,1132.0
1jr2-B,2761.0,0.20514,0.0
1jr7-A,3894.0,0.25304,1154.0
1js8-B,4025.0,0.25264,0.0
1jsu-C,1933.0,0.26182,856.0
1ju2-A,4119.0,0.2187,664.0
1juh-D,3909.0,0.28371,0.0
1juv-A,2752.0,0.27329,964.0
1jw9-B,4065.0,0.3483,0.0
1jx6-A,2871.0,0.1937,504.0
1jy1-A,3760.0,0.19834,0.0
1jy2-R,1542.0,0.29763,757.0
1jy2-S,2161.0,0.46175,0.0
1jya-B,2329.0,0.30373,1108.0
1jye-A,3289.0,0.27807,1475.0
1jyh-A,2809.0,0.2987,2798.0
1jyk-A,2696.0,0.2396,1445.0
1jyo-D,2841.0,0.3671,0.0
1jyo-E,3665.0,0.36266,2348.0
1jz8-C,9409.0,0.24541,0.0
1jzt-A,2391.0,0.20094,872.0
1k1f-F,2394.0,0.34244,1250.0
1k1x-B,6420.0,0.24709,0.0
1k32-F,10128.0,0.23195,2312.0
1k3s-A,2388.0,0.33436,0.0
1k3x-A,2545.0,0.21524,977.0
1k4i-A,2252.0,0.21941,799.0
1k4n-A,1981.0,0.20173,0.0
1k5c-A,2184.0,0.17433,399.0
1k5n-A,2622.0,0.17125,592.0
1k5n-B,1771.0,0.25336,0.0
1k6k-A,1990.0,0.23486,765.0
1k77-A,2669.0,0.23243,618.0
1k7c-A,2650.0,0.27088,667.0
1k7j-A,1938.0,0.19663,522.0
1k7w-C,5298.0,0.2408,0.0
1k8k-C,4137.0,0.24701,0.0
1k8k-D,4180.0,0.2599,0.0
1k8k-E,1983.0,0.21215,919.0
1k8k-F,3226.0,0.29548,0.0
1k8k-G,2443.0,0.25565,0.0
1k8u-A,1684.0,0.2724,0.0
1k8w-A,3793.0,0.24908,0.0
1ka1-A,2566.0,0.17753,740.0
1ka9-H,1935.0,0.22165,711.0
1kae-A,5820.0,0.27137,1694.0
1kaf-C,1505.0,0.23832,0.0
1kcf-A,2986.0,0.25166,0.0
1kcm-A,4260.0,0.26991,2827.0
1kdg-A,4580.0,0.23943,476.0
1khx-A,3551.0,0.31347,0.0
1khy-C,1371.0,0.18462,0.0
1kjn-A,1793.0,0.23289,0.0
1kjq-A,4321.0,0.25902,0.0
1kko-B,4216.0,0.2618,1487.0
1klx-A,2444.0,0.30139,772.0
1kmo-A,9516.0,0.37274,5364.0
1kmt-B,2236.0,0.28034,669.0
1kng-A,1822.0,0.25782,778.0
1kny-B,3420.0,0.25099,617.0
1ko7-A,3712.0,0.23763,0.0
1koe-A,1750.0,0.21952,339.0
1kol-A,4528.0,0.28182,1141.0
1kpg-C,3160.0,0.24992,424.0
1kq3-A,3998.0,0.25502,2001.0
1kq6-A,2246.0,0.2638,855.0
1kqf-A,7240.0,0.21853,0.0
1kqf-C,6770.0,0.4933,5867.0
1kqp-B,3038.0,0.21914,916.0
1ku3-A,1191.0,0.26921,988.0
1kve-B,1327.0,0.24229,1265.0
1kve-C,2325.0,0.43135,2253.0
1kvk-A,4397.0,0.25402,0.0
1kwa-A,1309.0,0.23459,444.0
1kxp-D,5081.0,0.21158,0.0
1kyf-A,2656.0,0.20497,395.0
1kyq-C,3930.0,0.24022,0.0
1kzf-A,2715.0,0.26537,829.0
1kzq-A,2275.0,0.17099,357.0
1kzy-C,3285.0,0.2686,0.0
1l0s-B,1017.0,0.21961,0.0
1l1l-D,6409.0,0.21949,0.0
1l2p-A,1595.0,0.24273,0.0
1l2w-L,1927.0,0.305,0.0
1l3k-A,1789.0,0.18717,509.0
1l3l-C,2917.0,0.23935,0.0
1l3p-A,2059.0,0.36327,0.0
1l4d-B,1565.0,0.2145,0.0
1l6p-A,1557.0,0.22536,565.0
1l6r-B,2818.0,0.26275,1037.0
1l7a-A,3213.0,0.23639,1271.0
1l8d-A,1252.0,0.1552,371.0
1l8w-A,2613.0,0.214,0.0
1l9l-A,619.0,0.11849,239.0
1l9x-C,3524.0,0.27339,809.0
1lb6-A,2036.0,0.22858,1340.0
1lbq-B,3737.0,0.23098,991.0
1lc0-A,3783.0,0.25053,839.0
1lc5-A,4008.0,0.26053,1331.0
1lf6-B,4551.0,0.19458,0.0
1lf7-A,2801.0,0.29807,0.0
1lfp-A,2896.0,0.22621,480.0
1lfw-A,3702.0,0.20113,748.0
1lj2-A,3814.0,0.40674,3253.0
1lj8-A,4147.0,0.21964,467.0
1lmi-A,1878.0,0.28663,877.0
1lml-A,5231.0,0.26828,2509.0
1ln1-A,2872.0,0.25004,1779.0
1lns-A,7201.0,0.24362,828.0
1lo7-A,2605.0,0.31912,1899.0
1lq9-A,2000.0,0.28285,1353.0
1lqt-B,3904.0,0.18942,768.0
1lqv-A,2578.0,0.25886,583.0
1lr0-A,1760.0,0.22346,544.0
1lr5-B,2566.0,0.29413,1151.0
1lrz-A,4354.0,0.21522,1157.0
1ls1-A,2693.0,0.20042,378.0
1lsh-A,12526.0,0.29085,0.0
1lsh-B,4524.0,0.37839,0.0
1lu4-A,1929.0,0.29338,793.0
1lua-B,3095.0,0.24626,643.0
1luc-A,3793.0,0.25504,0.0
1luz-B,1906.0,0.33136,0.0
1lv7-A,3597.0,0.26334,490.0
1lwb-A,2104.0,0.31092,1301.0
1lxj-A,1973.0,0.27521,850.0
1ly1-A,2614.0,0.2802,671.0
1lzl-A,3245.0,0.2512,1535.0
1m0k-A,5994.0,0.58076,0.0
1m0w-B,4315.0,0.20549,0.0
1m15-A,2458.0,0.16334,488.0
1m1e-B,1926.0,0.31216,0.0
1m1f-A,1469.0,0.25193,0.0
1m1q-A,1658.0,0.25148,1292.0
1m1s-A,1035.0,0.1721,180.0
1m1z-B,4133.0,0.20737,0.0
1m22-A,4177.0,0.22717,1350.0
1m32-D,4344.0,0.28246,776.0
1m3y-C,5672.0,0.30356,1021.0
1m46-B,711.0,0.23915,596.0
1m4i-B,2044.0,0.2204,1346.0
1m4j-B,1792.0,0.2499,1085.0
1m4u-A,4252.0,0.28222,0.0
1m55-A,2831.0,0.28498,941.0
1m56-D,2567.0,0.60047,2129.0
1m5i-A,1984.0,0.24763,0.0
1m5q-O,2427.0,0.28674,1196.0
1m6s-C,3515.0,0.25078,0.0
1m6y-B,2480.0,0.17411,511.0
1m70-D,2939.0,0.2995,692.0
1m9z-A,1553.0,0.24706,1058.0
1mgt-A,1772.0,0.21355,717.0
1mij-A,1910.0,0.22225,0.0
1mix-A,3401.0,0.2637,1076.0
1mjn-A,1344.0,0.1533,452.0
1mk4-B,1995.0,0.21399,1018.0
1mkf-B,3921.0,0.21925,0.0
1mkk-B,2452.0,0.34165,1717.0
1mn8-C,1145.0,0.20594,633.0
1mnn-A,3225.0,0.21061,0.0
1mpg-A,3991.0,0.31529,0.0
1mr7-A,3812.0,0.34423,1257.0
1mrz-A,3255.0,0.21385,0.0
1ms9-A,4784.0,0.20169,0.0
1msc-A,4002.0,0.40302,3780.0
1msw-D,10106.0,0.23761,0.0
1mty-C,5496.0,0.29163,0.0
1mty-E,6634.0,0.30355,0.0
1mtz-A,2156.0,0.18019,334.0
1mun-A,2947.0,0.26421,739.0
1mus-A,4875.0,0.20675,0.0
1mvf-D,1706.0,0.39075,0.0
1mvl-A,2812.0,0.31179,1104.0
1mww-B,2237.0,0.30262,1463.0
1mxe-F,1125.0,0.35794,1125.0
1my7-B,1238.0,0.19524,603.0
1mz9-E,2056.0,0.4396,0.0
1n08-B,2256.0,0.24302,546.0
1n12-C,1777.0,0.22232,0.0
1n13-E,2225.0,0.43062,2140.0
1n13-L,3019.0,0.40437,2867.0
1n1c-B,5625.0,0.37843,0.0
1n1f-A,1709.0,0.21312,0.0
1n35-A,11415.0,0.24163,0.0
1n3l-A,4206.0,0.24938,2815.0
1n4k-A,4447.0,0.27144,1568.0
1n57-A,3081.0,0.25143,1342.0
1n5u-A,7219.0,0.23632,1098.0
1n62-A,2173.0,0.2608,1141.0
1n62-C,4125.0,0.32131,782.0
1n62-E,8062.0,0.28124,0.0
1n67-A,2739.0,0.17377,312.0
1n6j-G,645.0,0.26113,0.0
1n71-B,2702.0,0.26302,1013.0
1n7k-B,3153.0,0.29531,0.0
1n7s-C,2298.0,0.29285,794.0
1n7v-A,8480.0,0.3495,1885.0
1n7z-A,5289.0,0.29449,861.0
1n81-A,3071.0,0.26472,556.0
1n8v-B,1361.0,0.19212,424.0
1n93-X,4942.0,0.25051,0.0
1n9p-A,2975.0,0.25025,0.0
1na6-A,4735.0,0.25362,0.0
