Uniprot_ID,PDB_ID,Species,Tax_ID,Type,Expression,Tissue_Expressed
P10342,1bf2-A,PSEUDOMONAS AMYLODERAMOSA,32043.0,,,
Q44297,1bg6-A,ARTHROBACTER SP.,79670.0,,,
P42228,1bgf-A,MUS MUSCULUS,10090.0,,,
P22915,1bja-B,ENTEROBACTERIA PHAGE T4,10665.0,,,
Q01082,1bkr-A,HOMO SAPIENS,9606.0,soluble,214.6,thalamus
P0ACH5,1bl0-A,ESCHERICHIA COLI,562.0,,,
P40189,1bqu-B,HOMO SAPIENS,9606.0,,101.7,placenta
P29715,1brt-A,STREPTOMYCES AUREOFACIENS,1894.0,,,
P27038,1bte-A,MUS MUSCULUS,10090.0,,,
Q06187,1btk-B,HOMO SAPIENS,9606.0,soluble,78.0,tonsil
P14779,1bvy-F,BACILLUS MEGATERIUM,1404.0,,,
P80302,1bx7-A,HIRUDO MEDICINALIS,6421.0,,,
P74909,1bxy-B,THERMUS THERMOPHILUS,274.0,,,
Q46707,1byr-A,SALMONELLA TYPHIMURIUM,602.0,,,
P21889,1c0a-A,ESCHERICHIA COLI,562.0,,,
P80324,1c0p-A,RHODOSPORIDIUM TORULOIDES,5286.0,,,
P13342,1c1k-A,ENTEROBACTERIA PHAGE T4,10665.0,,,
P04049,1c1y-B,HOMO SAPIENS,9606.0,soluble,194.9,skeletal muscle
Q9X0I0,1c3c-A,THERMOTOGA MARITIMA,2336.0,,,
Q56243,1c4o-A,THERMUS THERMOPHILUS,300852.0,,,
P03712,1c5e-B,ENTEROBACTERIA PHAGE LAMBDA,10710.0,,,
Q9IPS9,1c8n-A,UNIDENTIFIED TOBACCO NECROSIS VIRUS,12054.0,,,
P23911,1c8u-A,ESCHERICHIA COLI,562.0,,,
Q05599,1c9k-B,SALMONELLA TYPHIMURIUM,602.0,,,
Q59288,1cb8-A,PEDOBACTER HEPARINUS,984.0,,,
P38636,1cc8-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P80077,1ccw-D,CLOSTRIDIUM COCHLEARIUM,1494.0,,,
P06621,1cg2-D,PSEUDOMONAS SP.,312.0,,,
O75531,1ci4-A,HOMO SAPIENS,9606.0,soluble,582.1,skeletal muscle
Q29495,1cjw-A,OVIS ARIES,9940.0,,,
Q84424,1ckm-B,PARAMECIUM BURSARIA CHLORELLA VIRUS 1,10506.0,,,
P00642,1cl8-A,ESCHERICHIA COLI,562.0,,,
P12908,1cn3-F,POLYOMAVIRUS,10624.0,,,
P26441,1cnt-3,HOMO SAPIENS,9606.0,,7.7,white matter
O73568,1cq3-B,COWPOX VIRUS,10243.0,,,
P03692,1cr1-A,ENTEROBACTERIA PHAGE T7,10760.0,,,
P18759,1cr5-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P00968,1cs0-G,ESCHERICHIA COLI,562.0,,,
P0A809,1cuk-A,ESCHERICHIA COLI,562.0,,,
P81297,1cv8-A,STAPHYLOCOCCUS AUREUS,1280.0,,,
P11922,1cwv-A,YERSINIA PSEUDOTUBERCULOSIS,633.0,,,
Q16512,1cxz-B,HOMO SAPIENS,9606.0,soluble,87.0,skeletal muscle
Q16512,1cxz-B,HOMO SAPIENS,9606.0,soluble,90.4,spleen
O14727,1cy5-A,HOMO SAPIENS,9606.0,soluble,32.0,bone marrow
P0ABJ1,1cyw-A,ESCHERICHIA COLI,562.0,,,
P43642,1d02-B,MYCOPLASMA,2093.0,,,
P17726,1d0d-A,ORNITHODOROS MOUBATA,6938.0,,,
Q9X4D0,1d0q-A,GEOBACILLUS STEAROTHERMOPHILUS,1422.0,,,
P18708,1d2n-A,CRICETULUS GRISEUS,10029.0,,,
Q53654,1d2o-A,STAPHYLOCOCCUS AUREUS,1280.0,,,
P04278,1d2s-A,HOMO SAPIENS,9606.0,,63.4,liver
Q9S1A6,1d2t-A,ESCHERICHIA BLATTAE,563.0,,,
P22812,1d2z-D,DROSOPHILA MELANOGASTER,7227.0,,,
P14678,1d3b-B,HOMO SAPIENS,9606.0,soluble,345.4,bone marrow
P62318,1d3b-I,HOMO SAPIENS,9606.0,soluble,103.7,skeletal muscle
Q57815,1d3y-A,METHANOCALDOCOCCUS JANNASCHII,2190.0,,,
P11024,1d4o-A,BOS TAURUS,9913.0,,,
O60880,1d4t-A,HOMO SAPIENS,9606.0,,262.5,thymus
O13297,1d8h-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
P32170,1d8w-D,ESCHERICHIA COLI,562.0,,,
P07353,1d9c-B,BOS TAURUS,9913.0,,,
P14283,1dab-A,BORDETELLA PERTUSSIS,520.0,,,
Q07889,1dbh-A,HOMO SAPIENS,9606.0,soluble,20.1,ovary
P70985,1dc1-B,GEOBACILLUS STEAROTHERMOPHILUS,1422.0,,,
P18548,1dcs-A,STREPTOMYCES CLAVULIGERUS,1901.0,,,
P0ABS5,1dd9-A,ESCHERICHIA COLI,562.0,,,
Q45488,1dfm-A,BACILLUS SUBTILIS,1423.0,,,
P68919,1dfu-P,ESCHERICHIA COLI,562.0,,,
P50591,1dg6-A,HOMO SAPIENS,9606.0,,209.0,liver
P07649,1dj0-A,ESCHERICHIA COLI,562.0,,,
Q55389,1dj7-A,SYNECHOCYSTIS SP.,1148.0,,,
P26604,1dj8-D,ESCHERICHIA COLI,562.0,,,
O15169,1dk8-A,HOMO SAPIENS,9606.0,soluble,23.0,bone marrow
P00751,1dle-B,HOMO SAPIENS,9606.0,,2613.2,liver
P0ACG8,1dm9-A,ESCHERICHIA COLI,562.0,,,
P38516,1dmg-A,THERMOTOGA MARITIMA,2336.0,,,
O68557,1dmu-A,BACILLUS SUBTILIS,1423.0,,,
P18910,1dp4-A,RATTUS NORVEGICUS,10116.0,,,
P01094,1dpj-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
Q61830,1dqg-A,MUS MUSCULUS,10090.0,,,
Q24973,1dqp-B,GIARDIA INTESTINALIS,5741.0,,,
Q05581,1ds1-A,STREPTOMYCES CLAVULIGERUS,1901.0,,,
P81511,1dtd-B,HOMO SAPIENS,9606.0,,,
P11204,1dun-A,EQUINE INFECTIOUS ANEMIA VIRUS,11665.0,,,
P33411,1dvk-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
P29367,1dvo-A,ESCHERICHIA COLI,562.0,,,
P00816,1dwk-E,ESCHERICHIA COLI,562.0,,,
P43478,1dyp-A,PSEUDOALTEROMONAS CARRAGEENOVORA,227.0,,,
P20434,1dzf-A,SACCHAROMYCES CEREVISIAE,559292.0,,,
P81245,1dzk-A,SUS SCROFA,9823.0,,,
P74919,1e30-A,THIOBACILLUS FERROOXIDANS,920.0,,,
P32173,1e5k-A,ESCHERICHIA COLI,83333.0,,,
P32055,1e6u-A,ESCHERICHIA COLI,562.0,,,
P13340,1e7l-A,BACTERIOPHAGE T4,10665.0,,,
Q04230,1e9r-F,ESCHERICHIA COLI,562.0,,,
P78310,1eaj-B,HOMO SAPIENS,9606.0,,53.4,skin
Q03347,1eaq-B,MUS MUSCULUS,10090.0,,,
P07363,1eay-D,ESCHERICHIA COLI,562.0,,,
Q9HB21,1eaz-A,HOMO SAPIENS,9606.0,,66.5,skin
P46076,1eb6-A,ASPERGILLUS ORYZAE,5062.0,,,
Q03859,1ed1-A,SIMIAN IMMUNODEFICIENCY VIRUS - MAC,11711.0,,,
P21892,1eej-A,ESCHERICHIA COLI,562.0,,,
P01588,1eer-A,HOMO SAPIENS,9606.0,,47.2,liver
P19235,1eer-C,HOMO SAPIENS,9606.0,,30.2,thyroid gland
Q59470,1eex-A,KLEBSIELLA OXYTOCA,571.0,,,
Q59471,1eex-B,KLEBSIELLA OXYTOCA,571.0,,,
Q59472,1eex-M,KLEBSIELLA OXYTOCA,571.0,,,
P26038,1ef1-C,HOMO SAPIENS,9606.0,soluble,281.5,lung
P07822,1efd-N,ESCHERICHIA COLI,562.0,,,
P26446,1efy-A,GALLUS GALLUS,9031.0,,,
Q02078,1egw-C,HOMO SAPIENS,9606.0,,89.7,heart muscle
O31243,1ehy-B,AGROBACTERIUM TUMEFACIENS,358.0,,,
Q9ZBA9,1ei5-A,OCHROBACTRUM ANTHROPI,529.0,,,
P45478,1ei9-A,BOS TAURUS,9913.0,,,
P40202,1ej8-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P33038,1ejd-B,ENTEROBACTER CLOACAE,550.0,,,
Q15185,1ejf-B,HOMO SAPIENS,9606.0,soluble,454.6,cerebral cortex
P02930,1ek9-B,ESCHERICHIA COLI,562.0,,,
P39593,1ekq-A,BACILLUS SUBTILIS,1423.0,,,
P10929,1el6-A,ENTEROBACTERIA PHAGE T4,10665.0,,,
O60784,1elk-B,HOMO SAPIENS,9606.0,soluble,213.8,skeletal muscle
P31948,1elw-B,HOMO SAPIENS,9606.0,soluble,340.6,cerebral cortex
P03322,1em9-B,ROUS SARCOMA VIRUS - PRAGUE C,11888.0,,,
P36913,1eok-A,ELIZABETHKINGIA MENINGOSEPTICA,238.0,,,
P13596,1epf-B,RATTUS NORVEGICUS,10116.0,,,
O62547,1epu-A,LOLIGO PEALEI,6621.0,,,
P67910,1eq2-I,ESCHERICHIA COLI,562.0,,,
P39042,1es5-A,STREPTOMYCES SP.,1958.0,,,
Q29460,1es9-A,BOS TAURUS,9913.0,,,
P01270,1et1-B,HOMO SAPIENS,9606.0,,50184.7,parathyroid gland
P49771,1ete-D,HOMO SAPIENS,9606.0,,27.0,cervix
Q02724,1euv-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
Q12306,1euv-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
P50187,1ev7-B,LECHEVALIERIA AEROCOLONIGENES,68170.0,,,
P0A8M3,1evl-D,ESCHERICHIA COLI,562.0,,,
P13725,1evs-A,HOMO SAPIENS,9606.0,,118.2,bone marrow
P27838,1ew4-A,ESCHERICHIA COLI,562.0,,,
P17213,1ewf-A,HOMO SAPIENS,9606.0,,1503.7,bone marrow
P32851,1ez3-B,RATTUS NORVEGICUS,10116.0,,,
O16119,1ezg-B,TENEBRIO MOLITOR,7067.0,,,
P0A0Z8,1ezi-B,NEISSERIA MENINGITIDIS,487.0,,,
P04859,1ezj-A,SENDAI VIRUS (STRAIN HARRIS),11196.0,,,
P19809,1f00-I,ESCHERICHIA COLI,562.0,,,
P17443,1f0k-B,ESCHERICHIA COLI,562.0,,,
P06149,1f0x-B,ESCHERICHIA COLI,562.0,,,
O93641,1f1e-A,METHANOPYRUS KANDLERI,2320.0,,,
Q9AGB1,1f1m-C,BORRELIA BURGDORFERI,139.0,,,
P58301,1f2t-A,PYROCOCCUS FURIOSUS,2261.0,,,
P58301,1f2t-B,PYROCOCCUS FURIOSUS,2261.0,,,
P19400,1f32-A,ASCARIS SUUM,6253.0,,,
Q64288,1f35-B,MUS MUSCULUS,10090.0,,,
Q13153,1f3m-B,HOMO SAPIENS,9606.0,,87.0,skeletal muscle
P13984,1f3u-C,HOMO SAPIENS,9606.0,soluble,25.0,skeletal muscle
P35269,1f3u-H,HOMO SAPIENS,9606.0,soluble,73.6,ovary
Q15628,1f3v-A,HOMO SAPIENS,9606.0,,29.9,spleen
P77173,1f46-B,ESCHERICHIA COLI,562.0,,,
P32455,1f5n-A,HOMO SAPIENS,9606.0,,88.0,liver
P89883,1f5q-B,HOMO SAPIENS,9606.0,,,
P17117,1f5v-B,ESCHERICHIA COLI,562.0,,,
P17119,1f9v-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P52934,1fc3-B,GEOBACILLUS STEAROTHERMOPHILUS,1422.0,,,
O04073,1fc6-A,SCENEDESMUS OBLIQUUS,3088.0,,,
Q08169,1fcq-A,APIS MELLIFERA,7460.0,,,
P13631,1fcy-A,HOMO SAPIENS,9606.0,,141.6,esophagus
P05825,1fep-A,ESCHERICHIA COLI K12,83333.0,,,
P56930,1feu-A,THERMUS THERMOPHILUS,274.0,,,
P41972,1ffy-A,STAPHYLOCOCCUS AUREUS,1280.0,,,
P06986,1fg7-A,ESCHERICHIA COLI,562.0,,,
P23827,1fi8-C,RATTUS NORVEGICUS,10116.0,,,
P23827,1fi8-D,RATTUS NORVEGICUS,10116.0,,,
P31032,1fiu-D,NEISSERIA GONORRHOEAE,485.0,,,
O75608,1fj2-B,HOMO SAPIENS,9606.0,soluble,83.5,liver
Q9ZFY9,1fjh-B,COMAMONAS TESTOSTERONI,285.0,,,
None,1fjr-B,,,,,
Q08484,1fkm-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P17948,1flt-Y,HOMO SAPIENS,9606.0,,432.4,placenta
P30748,1fm0-D,ESCHERICHIA COLI,562.0,,,
P30749,1fm0-E,ESCHERICHIA COLI,562.0,,,
Q98639,1fn9-A,REOVIRUS SP.,10891.0,,,
Q8ZYK1,1fnn-B,PYROBACULUM AEROPHILUM,13773.0,,,
P27115,1fo8-A,ORYCTOLAGUS CUNICULUS,9986.0,,,
P48842,1fob-A,ASPERGILLUS ACULEATUS,5053.0,,,
O24529,1fp2-A,MEDICAGO SATIVA,3879.0,,,
P0A6L9,1fpo-B,ESCHERICHIA COLI,562.0,,,
Q16667,1fpz-C,HOMO SAPIENS,9606.0,,207.0,testis
P0ABA6,1fs0-G,ESCHERICHIA COLI,562.0,,,
Q9S1E5,1fs7-A,WOLINELLA SUCCINOGENES,844.0,,,
Q57142,1ft5-A,NITROSOMONAS EUROPAEA,915.0,,,
Q49610,1ftr-D,METHANOPYRUS KANDLERI,2320.0,,,
O41026,1fvi-A,CHLORELLA VIRUS,10507.0,,,
O27646,1fxk-C,METHANOTHERMOBACTER THERMAUTOTROPHICUS,145262.0,,,
P36936,1fye-A,SALMONELLA TYPHIMURIUM,602.0,,,
P81054,1g12-A,GRIFOLA FRONDOSA,5627.0,,,
Q97S59,1g2r-A,STREPTOCOCCUS PNEUMONIAE,1313.0,,,
P43772,1g3k-A,HAEMOPHILUS INFLUENZAE,727.0,,,
P69168,1g3p-A,ENTEROBACTERIA PHAGE M13,10870.0,,,
Q9ZEU2,1g5a-A,NEISSERIA POLYSACCHAREA,489.0,,,
Q9QZM2,1g5h-A,MUS MUSCULUS,10090.0,,,
P31570,1g5t-A,SALMONELLA TYPHIMURIUM,602.0,,,
P23192,1g60-B,MORAXELLA BOVIS,476.0,,,
Q60357,1g61-A,METHANOCALDOCOCCUS JANNASCHII,2190.0,,,
O59893,1g66-A,PENICILLIUM PURPUROGENUM,28575.0,,,
P22216,1g6g-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
O57811,1g8a-A,PYROCOCCUS HORIKOSHII,53953.0,,,
P0A8S9,1g8e-B,ESCHERICHIA COLI,562.0,,,
Q7SIF4,1g8k-G,ALCALIGENES FAECALIS,511.0,,,
P31335,1g8m-B,GALLUS GALLUS,9031.0,,,
P26239,1g8p-A,RHODOBACTER CAPSULATUS,1061.0,,,
P60033,1g8q-B,HOMO SAPIENS,9606.0,,1602.0,seminal vesicle
P42790,1ga6-A,PSEUDOMONAS SP.,306.0,,,
Q25063,1gak-A,HALIOTIS FULGENS,6456.0,,,
P16966,1ghe-A,PSEUDOMONAS SYRINGAE PV. TABACI,322.0,,,
O33838,1gjw-A,THERMOTOGA MARITIMA,243274.0,,,
P03069,1gk6-A,"SACCHAROMYCES CEREVISIAE, HOMO SAPIENS",4932.0,,,
P06875,1gk9-A,ESCHERICHIA COLI,562.0,,,
P21310,1gkm-A,PSEUDOMONAS PUTIDA,303.0,,,
P10493,1gl4-A,MUS MUSCULUS,10090.0,,,
P09216,1gmi-A,RATTUS RATTUS,10117.0,,,
P80318,1gml-C,MUS MUSCULUS,10090.0,,,
P18317,1gmu-A,KLEBSIELLA AEROGENES,28451.0,,,
P0A6V5,1gmx-A,ESCHERICHIA COLI,469008.0,,,
Q01770,1gnl-B,DESULFOVIBRIO DESULFURICANS,876.0,,,
Q59675,1gny-A,PSEUDOMONAS CELLULOSA,155077.0,,,
Q60351,1go3-F,METHANOCOCCUS JANNASCHII,2190.0,,,
Q57840,1go3-M,METHANOCOCCUS JANNASCHII,2190.0,,,
P11717,1gp0-A,HOMO SAPIENS,9606.0,soluble,69.5,skeletal muscle
Q96323,1gp6-A,ARABIDOPSIS THALIANA,3702.0,,,
Q9UXR8,1gpj-A,METHANOPYRUS KANDLERI,2320.0,,,
P17255,1gpp-A,SACCHAROMYCES CEREVISIAE,4932.0,,,
P20166,1gpr-A,BACILLUS SUBTILIS,1423.0,,,
P07012,1gqe-A,ESCHERICHIA COLI,83333.0,,,
None,1gqi-B,,,,,
P04425,1gsa-A,ESCHERICHIA COLI,37762.0,,,
Q13477,1gsm-A,HOMO SAPIENS,9606.0,,13.9,appendix
Q46978,1gtt-C,ESCHERICHIA COLI,562.0,,,
Q9RQB9,1gu2-B,METHYLOPHILUS METHYLOTROPHUS,2327.0,,,
P14090,1gu3-A,CELLULOMONAS FIMI,1708.0,,,
P17676,1gu4-A,HOMO SAPIENS,9606.0,,228.7,liver
Q8WZM3,1gu7-A,CANDIDA TROPICALIS,5482.0,,,
None,1gu9-F,,,,,
Q9WXN1,1gui-A,THERMOTOGA MARITIMA,2336.0,,,
P08854,1gut-E,CLOSTRIDIUM PASTEURIANUM,1501.0,,,
Q62902,1gv9-A,RATTUS NORVEGICUS,10116.0,,,
P38918,1gve-B,RATTUS NORVEGICUS,10116.0,,,
P42908,1gvf-B,ESCHERICHIA COLI,562.0,,,
Q54944,1gvn-B,STREPTOCOCCUS PYOGENES,1314.0,,,
Q9C171,1gwm-A,PIROMYCES EQUI,99929.0,,,
Q9F7L3,1gxm-B,CELLVIBRIO CELLULOSA,155077.0,,,
Q04724,1gxr-A,HOMO SAPIENS,9606.0,,90.7,skeletal muscle
P30131,1gxu-A,ESCHERICHIA COLI,562.0,,,
P20974,1gxy-A,RATTUS NORVEGICUS,10116.0,,,
P33331,1gy7-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
P31992,1gyx-A,ESCHERICHIA COLI,83333.0,,,
O52623,1gzs-D,SALMONELLA TYPHIMURIUM,602.0,,,
Q8GC87,1h0h-B,DESULFOVIBRIO GIGAS,879.0,,,
P09373,1h16-A,ESCHERICHIA COLI,562.0,,,
P81040,1h21-B,DESULFOVIBRIO DESULFURICANS,876.0,,,
Q9Y9P9,1h2b-A,AEROPYRUM PERNIX,56636.0,,,
Q05128,1h2c-A,EBOLA VIRUS,205488.0,,,
Q14393,1h30-A,HOMO SAPIENS,9606.0,,244.4,cervix
Q939U1,1h32-A,RHODOVULUM SULFIDOPHILUM,35806.0,,,
O00268,1h3o-A,HOMO SAPIENS,9606.0,aggregator,10.0,testis
None,1h4x-B,,,,,
P04332,1h5w-B,BACTERIOPHAGE PHI-29,10756.0,,,
P75002,1h6d-K,ZYMOMONAS MOBILIS,542.0,,,
O15119,1h6f-B,HOMO SAPIENS,9606.0,,178.4,adrenal gland
P35221,1h6g-A,HOMO SAPIENS,9606.0,soluble,208.9,esophagus
Q15080,1h6h-A,HOMO SAPIENS,9606.0,,180.2,bone marrow
Q09161,1h6k-C,HOMO SAPIENS,9606.0,soluble,30.6,retina
P51584,1h6y-B,CLOSTRIDIUM THERMOCELLUM,1515.0,,,
Q58504,1h72-C,METHANOCOCCUS JANNASCHII,2190.0,,,
Q9F5I8,1h80-B,ALTEROMONAS SP. ATCC43554,116059.0,,,
P02784,1h8p-B,BOS TAURUS,9913.0,,,
P80721,1h97-B,PARAMPHISTOMUM EPICLITUM,54403.0,,,
P39805,1h99-A,BACILLUS SUBTILIS,1423.0,,,
Q9P8T8,1hcu-B,TRICHODERMA REESEI,51453.0,,,
P51691,1hdh-B,PSEUDOMONAS AERUGINOSA,287.0,,,
P30043,1hdo-A,HOMO SAPIENS,9606.0,soluble,625.2,bone marrow
Q51451,1he1-B,PSEUDOMONAS AERUGINOSA,287.0,,,
Q9X0D7,1hf2-C,THERMOTOGA MARITIMA,2336.0,,,
P19878,1hh8-A,HOMO SAPIENS,9606.0,,191.9,bone marrow
P26902,1hi9-B,BACILLUS SUBTILIS,1423.0,,,
P07071,1hk8-A,BACTERIOPHAGE T4,10665.0,,,
P80018,1hlb-A,CAUDINA ARENICOLA,7698.0,,,
P07199,1hlv-A,HOMO SAPIENS,9606.0,,133.5,white matter
P59807,1hn0-A,PROTEUS VULGARIS,585.0,,,
P07024,1hp1-A,ESCHERICHIA COLI,562.0,,,
Q47106,1hq0-A,ESCHERICHIA COLI,562.0,,,
P07019,1hq1-A,ESCHERICHIA COLI,562.0,,,
P15891,1hqz-7,SACCHAROMYCES CEREVISIAE,4932.0,,,
P10507,1hr6-F,SACCHAROMYCES CEREVISIAE,4932.0,,,
P45748,1hru-A,ESCHERICHIA COLI,562.0,,,
P44492,1htw-A,HAEMOPHILUS INFLUENZAE,727.0,,,
P05113,1hul-A,HOMO SAPIENS,9606.0,,5.1,testis
P01241,1huw-A,HOMO SAPIENS,9606.0,,59365.3,pituitary gland
P0A6Y5,1hw7-A,ESCHERICHIA COLI,562.0,,,
Q46822,1hx3-B,ESCHERICHIA COLI,562.0,,,
P22535,1hx6-B,ENTEROBACTERIA PHAGE PRD1,10658.0,,,
Q9VI75,1hx8-A,DROSOPHILA MELANOGASTER,7227.0,,,
Q9U763,1hxi-A,TRYPANOSOMA BRUCEI,5691.0,,,
Q08326,1hxr-B,RATTUS NORVEGICUS,10116.0,,,
P35505,1hyo-A,MUS MUSCULUS,10090.0,,,
P06993,1hz4-A,ESCHERICHIA COLI,562.0,,,
Q46822,1hzt-A,ESCHERICHIA COLI,562.0,,,
O29428,1i0r-A,ARCHAEOGLOBUS FULGIDUS,2234.0,,,
P43577,1i12-B,SACCHAROMYCES CEREVISIAE,4932.0,,,
P00898,1i1q-A,SALMONELLA TYPHIMURIUM,602.0,,,
Q98823,1i1r-B,HOMO SAPIENS,9606.0,,,
P23360,1i1w-A,THERMOASCUS AURANTIACUS,5087.0,,,
O48917,1i24-A,ARABIDOPSIS THALIANA,3702.0,,,
P35269,1i27-A,HOMO SAPIENS,9606.0,soluble,73.6,ovary
P28305,1i2k-A,ESCHERICHIA COLI,562.0,,,
O95071,1i2t-A,HOMO SAPIENS,9606.0,aggregator,50.1,skeletal muscle
P13299,1i3j-A,ENTEROBACTERIA PHAGE T4,10665.0,,,
P53365,1i4d-A,HOMO SAPIENS,9606.0,soluble,57.7,salivary gland
P48286,1i4j-B,THERMUS THERMOPHILUS,274.0,,,
Q56310,1i58-A,THERMOTOGA MARITIMA,2336.0,,,
P42419,1i60-A,BACILLUS SUBTILIS,1423.0,,,
P14294,1i7d-A,ESCHERICHIA COLI,562.0,,,
P09803,1i7w-D,MUS MUSCULUS,10090.0,,,
P30074,1i88-A,MEDICAGO SATIVA,3879.0,,,
Q60037,1i8a-A,THERMOTOGA MARITIMA,2336.0,,,
Q01747,1i8n-B,HAEMENTERIA OFFICINALIS,6410.0,,,
O43001,1i9z-A,SCHIZOSACCHAROMYCES POMBE,4896.0,,,
Q92888,1iap-A,HOMO SAPIENS,9606.0,soluble,168.4,spleen
P24394,1iar-B,HOMO SAPIENS,9606.0,,119.2,lung
P23837,1id0-A,ESCHERICHIA COLI,562.0,,,
P31069,1id1-B,ESCHERICHIA COLI,562.0,,,
P56221,1idp-C,MAGNAPORTHE GRISEA,148305.0,,,
P02545,1ifr-A,HOMO SAPIENS,9606.0,soluble,364.3,skin
P07674,1igq-C,ESCHERICHIA COLI,562.0,,,
P73797,1ii5-A,SYNECHOCYSTIS SP. PCC 6803 SUBSTR. KAZUSA,1111708.0,,,
P69795,1iib-B,ESCHERICHIA COLI,83333.0,,,
P51659,1ikt-A,HOMO SAPIENS,9606.0,soluble,320.0,liver
P09713,1im3-P,HOMO SAPIENS,9606.0,,,
Q56313,1in4-A,THERMOTOGA MARITIMA,2336.0,,,
Q9WZC2,1inl-D,THERMOTOGA MARITIMA,2336.0,,,
Q9DEA6,1io0-A,GALLUS GALLUS,9031.0,,,
P08895,1iq4-A,GEOBACILLUS STEAROTHERMOPHILUS,1422.0,,,
Q8T8D4,1iq5-B,XENOPUS LAEVIS,8355.0,,,
Q57468,1irq-B,STREPTOCOCCUS PYOGENES,1314.0,,,
Q9YIC2,1is3-A,CONGER MYRIASTER,7943.0,,,
Q7SID0,1it2-B,EPTATRETUS BURGERI,7764.0,,,
P14778,1itb-B,HOMO SAPIENS,9606.0,,161.1,cervix
P06148,1ith-B,URECHIS CAUPO,6431.0,,,
P83693,1iuj-A,THERMUS THERMOPHILUS,274.0,,,
P10349,1iuq-A,CUCURBITA MOSCHATA,3662.0,,,
