,id,LHP
291,Q9H8W4,1820
292,P02748,1831
293,Q9H4B8,1628
294,O43670,644
295,Q9HCN2,898
296,Q8NGP4,8728
297,Q93045,1544
298,Q14894,1394
299,A0A0A0MS14,1268
300,Q9NY47,2934
301,Q6ZW33,2059
302,Q13123,1273
303,Q9NRR6,2841
304,Q9UBP9,1232
305,Q6P597,1346
306,Q6UXP7,756
307,Q8TDV2,8590
308,Q6MZQ0,1134
309,P57775,1471
310,O95236,2901
311,Q8IU85,1182
312,Q9H467,881
313,Q8N205,3119
314,O15350,1978
315,Q8N5C8,1442
316,Q2M3A8,786
317,Q9H2L5,1447
318,Q86U38,1534
319,Q70EL4,1984
320,Q9P0M2,1398
321,A8MZ97,2633
322,A0A087WV53,971
323,Q9BY84,830
324,A6NKX4,10911
325,Q9NXH3,571
326,P29320,2403
327,Q8WUD1,1025
328,Q9NQ66,1858
329,O60888,1176
330,Q8IZI9,1623
331,Q9Y2W2,1158
332,Q5T2Q4,2873
333,P0CW23,807
334,Q9BUY7,968
335,Q7Z444,889
336,P0DP58,3152
337,P55957,578
338,Q969E3,1851
339,C9JDV5,3073
340,P46095,9636
341,Q5TYM5,1819
342,Q6A1A2,3248
343,Q8WUE5,3071
344,Q6UWU4,2341
345,Q9NZQ3,1761
346,Q4VC05,1546
347,A0A1B0GTG8,1436
348,Q5T7N2,3172
349,Q9Y5P0,8747
350,Q02833,1610
351,Q5H9F3,3989
352,Q96KT7,7463
353,A6NGN4,2693
354,P0CG48,675
355,A0A140TA62,2184
356,O95395,3145
357,Q15397,444
358,Q9UJQ4,1925
359,Q8WYR1,985
360,O00198,1545
361,Q9NVF7,1230
362,P14923,2121
363,Q9BW60,7784
364,Q9Y5R8,1196
365,Q10589,4407
366,P63215,2176
367,Q9HBD1,975
368,Q96P71,4892
369,Q7Z3E1,2310
370,Q96NJ5,959
371,Q6ZSR9,922
372,P09972,934
373,P20338,591
374,O94921,3974
375,Q9NQA5,9608
376,A6NI73,2056
377,Q9NSY1,2140
378,Q13094,1052
379,Q7Z478,1660
380,Q9HBE5,2810
381,Q96P65,8825
382,Q5HYI8,1692
383,Q86U10,2868
384,Q9QC07,2166
385,Q9H0V9,2641
386,P10589,1108
387,O60678,2156
388,Q4VC39,3173
389,P21754,1953
390,Q8WUH2,2097
391,O00167,907
392,A6NKT7,1799
393,P56537,580
394,Q8N4F4,8464
395,Q92561,1466
396,Q9BRR6,2815
397,Q16661,1408
398,Q9P2Y5,2596
399,Q96PM5,2510
400,A0A075B6N2,1295
401,Q1EHB4,10891
402,P04271,1785
403,Q00765,6769
404,P42224,1547
405,Q969H4,1824
406,Q5SWL7,2382
407,A8MTL3,4550
408,Q71F56,5347
409,Q92575,2184
410,O15218,8707
411,Q9BRS2,1748
412,Q9H2A2,892
413,Q96PL1,4480
414,O60687,1219
415,Q8WWQ2,1496
416,Q9NXE4,6173
417,Q8N365,1772
418,Q6ZMV5,2053
419,P00995,1403
420,P48735,2576
421,Q96GM8,747
422,A0A1W2PQM1,3321
423,A6NGB7,5636
424,P08311,1371
425,Q13043,1872
426,Q9NQL2,1138
427,Q96NF6,6220
428,P09769,1159
429,Q8NFV4,1647
430,P32927,3089
431,Q5T752,387
432,Q9BYB0,1864
433,A8MXZ3,5308
434,Q01453,4421
435,Q9HBI6,3043
436,Q9H9Q4,3997
437,A0A0C4DH43,1755
438,Q9Y2Y9,1219
439,Q9BUV8,4000
440,P04259,2447
441,O43704,344
442,Q8NHZ8,1553
443,P13725,2186
444,Q14738,1127
445,P56279,2307
446,P16885,841
447,Q96G97,6186
448,Q9NSU2,2414
449,Q13057,962
450,P07988,7849
451,P48047,2041
452,O00629,520
453,O95424,3696
454,O95342,9677
455,B2RC85,2824
456,Q8TEQ6,1830
457,Q96ET8,6776
458,Q5JX71,4559
459,Q69YI7,1206
460,Q9NXF8,6705
461,Q08477,5288
462,Q8N371,1586
463,Q16891,2534
464,A0AVT1,804
465,Q16649,2237
466,A1L4Q6,3292
467,P54687,1319
468,Q9H7J1,2243
469,Q9BWX1,1145
470,A6NK59,1486
471,Q8WW18,1653
472,Q9NS64,2451
473,P29122,1829
474,P01876,845
475,Q6UWL6,2192
476,Q96B18,1923
477,Q96PY0,3039
478,Q9P0U4,2773
479,Q9Y5I2,2660
480,Q5T7W0,4296
481,Q5HYR2,1351
482,Q9H936,6444
483,Q5VT25,2038
484,P43489,2361
485,Q9Y5H6,2710
486,Q96KN9,6609
487,Q8TB52,3305
488,Q9NZI5,1152
489,P20674,621
490,O95801,2091
491,O60320,5355
492,P30301,5922
493,Q05C16,4611
494,P19793,1293
495,A4FU28,3704
496,Q86WG5,2639
497,Q3MJ40,3581
498,Q9NQX7,3043
499,Q8TBB1,1095
500,O60308,1758
501,P07585,1758
502,P28566,7221
503,P36980,1566
504,Q96NR3,10431
505,Q96LJ7,2020
506,Q8WW24,2225
507,Q9Y2L8,2988
508,P35251,3058
509,Q3LI76,728
510,O75063,2061
511,Q5VTE6,763
512,Q6ZMB0,1934
513,Q9P0V8,2654
514,Q587J8,547
515,Q8N8D1,3396
516,Q99811,1082
517,P31751,771
518,O95197,10503
519,Q15195,1114
520,Q9NTG1,20174
521,Q96GX9,456
522,Q99805,10161
523,P78423,3547
524,O95183,2703
525,Q15181,961
526,Q9NZJ9,1804
527,Q12836,2847
528,P20648,8560
529,Q8NAE3,4841
530,O75711,2004
531,A8MV65,1909
532,Q9Y287,2727
533,Q9BU76,1460
534,P35523,12322
535,Q96R67,7488
536,Q3LI62,947
537,A8MQ03,1662
538,O75077,1651
539,Q9BYW1,9625
540,Q9BR10,1269
541,P05386,2287
542,Q9H9E1,1598
543,Q13296,1791
544,Q8TBC5,4083
545,P0CB38,1709
546,Q8IZS7,3591
547,P78345,822
548,A0A0B4J1V2,1266
549,Q6IEZ7,7523
550,Q9NQW8,12763
551,Q14512,1831
552,Q6BCY4,364
553,Q9Y5E1,2733
554,O43248,1026
555,Q9H2X0,2686
556,Q9NZD2,1602
557,Q8IX03,2403
558,Q5QJ74,955
559,P19022,2578
560,Q96L03,3187
561,O95168,1495
562,Q9UM44,3535
563,Q99622,1898
564,Q9Y278,1988
565,Q9BU89,703
566,P54136,917
567,Q9H0A0,2174
568,Q8NH49,8015
569,Q9BRK4,1124
570,Q569K6,3093
571,O75936,2200
572,Q2M3T9,2513
573,Q92777,2110
574,Q8N6G2,1469
575,Q86WK6,1850
576,P45985,857
577,P09543,699
578,P84101,246
579,Q9NSN8,2048
580,Q6P1N0,1069
581,Q969Q6,2795
582,B7Z368,1371
583,P13533,2478
584,P52209,1336
585,Q9H063,995
586,Q9BYZ6,2489
587,Q9Y536,401
588,P43304,1895
589,P01137,2226
590,Q9NQT4,1869
591,Q13241,2664
592,Q6P1L8,679
593,Q03052,2486
594,Q8WUS8,4371
595,A0A0A0MRZ9,1391
596,P01889,1993
597,Q9NVR2,1492
598,Q5GH72,11492
599,O95154,628
600,Q9H0C8,543
601,Q9Y250,1503
602,Q8NH61,7965
603,P53671,2467
604,Q7Z4W2,1463
605,Q496F6,2221
606,P23396,1333
607,Q9Y244,1211
608,P05423,1778
609,Q9Y5G9,2382
610,Q8N8I6,2891
611,Q92993,1056
612,Q6DKI1,771
613,P42768,892
614,P17027,1524
615,Q52LC2,3136
616,P20853,2681
617,Q6PH81,1902
618,O95140,3702
619,O95626,602
620,P78386,2369
621,Q8IVJ8,1973
622,Q13255,9917
623,Q96BJ8,963
624,P36957,2033
625,O43506,2515
626,Q9P260,1615
627,A8MTW9,1602
628,A0A1B0GVH4,4619
629,Q69YQ0,1366
630,A6NKN8,576
631,Q17RP2,1796
632,P17026,615
633,Q03721,11026
634,O43261,1135
635,H3BTG2,3385
636,O15027,2980
637,Q5VZ03,1150
638,Q8NH74,8182
639,Q9BRH9,1820
640,Q9Y5G8,2719
641,Q8NCQ5,4852
642,A0A0J9YX57,766
643,Q01650,9825
644,Q8N614,9086
645,P36956,4711
646,Q8HWS3,1731
647,Q6UW63,1810
648,Q9NQT5,1721
649,Q96K58,2175
650,O95633,1358
651,Q15631,1252
652,Q3B7J2,939
653,Q8NDV7,1431
654,Q9P275,3086
655,Q86YD7,1916
656,O43513,2504
657,P55201,3032
658,O15033,2757
659,Q7Z4W3,1302
660,Q8NH60,8354
661,Q9Y251,954
662,O95155,1456
663,Q5JSH3,1100
664,Q5H9R7,937
665,D3W0D1,3822
666,O00358,3065
667,A0A2R8Y4Y8,1534
668,P21580,1442
669,Q5GH73,10883
670,Q13526,415
671,P17032,2450
672,A0A1B0GTQ4,3331
673,Q14249,3874
674,A0A0A0MRZ8,1541
675,Q86Y34,8180
676,Q684P5,1757
677,O75937,609
678,Q08648,1258
679,Q9BRK5,1159
680,Q8NCR9,4322
681,Q8NH48,8105
682,Q5MJ10,1067
683,Q9Y279,2233
684,Q8WWI5,16837
685,O00370,1190
686,Q96GW7,1808
687,Q99623,3401
688,Q14507,2201
689,Q13268,961
690,P29692,1981
691,Q15619,7708
692,P45984,1747
693,Q8N3Y1,2040
694,Q9Y2B2,4036
695,Q86WK7,2116
696,Q8N628,8768
697,B0YJ81,7092
698,P04066,1375
699,A0A075B6V5,1864
700,Q9BWT3,1163
701,Q9UJ37,4238
702,Q5W064,3452
703,P08648,2618
704,Q96BH1,1634
705,A0A0B4J1X8,1755
706,O95169,2054
707,Q6P4Q7,8309
708,Q5JT82,934
709,A0PJE2,1528
710,P46527,545
711,P62491,702
712,Q8N6F7,1191
713,O75923,4461
714,Q7Z6B0,2178
715,Q9Y286,1721
716,A0A0J9YX94,1364
717,Q8WYK2,1576
718,Q12837,1716
719,O95182,1239
720,Q8IV31,4980
721,Q9UHP3,1167
722,Q96GX8,859
723,Q56P42,915
724,P78344,1052
725,Q8IZS6,2481
726,Q8IXK2,1500
727,Q8TBC4,2910
728,P05387,1635
729,Q9BR11,3269
730,P35244,885
731,Q3LI63,1270
732,Q9H9D4,1881
733,Q6NUP7,1325
734,Q5SNT2,5438
735,P62308,763
736,A4FU01,1221
737,Q9Y2L9,2253
738,Q96R72,7716
739,Q8NDZ4,2432
740,Q3LI77,820
741,P35250,1007
742,A0A0B4J1W7,5725
743,Q5JTB6,2049
744,Q96NR2,1540
745,Q8IXJ6,1316
746,P61601,1574
747,O60309,8290
748,Q8TBB0,1826
749,Q13283,1068
750,Q9NQX6,3785
751,Q8WYJ6,797
752,O95196,4517
753,Q9UHQ7,1338
754,Q92945,2818
755,Q494R0,3336
756,Q9P0V9,955
757,Q6P179,807
758,O60447,2077
759,P0C7P4,2250
760,Q96KN8,1598
761,Q9NS71,1814
762,Q9Y5H7,2536
763,Q9H2U6,2677
764,Q8N6K0,2246
765,A8MX80,997
766,Q7Z4Y8,4164
767,Q9H089,1567
768,O95800,8768
769,Q6UW88,4574
770,A6NK58,569
771,Q9BR39,1910
772,Q8N3T6,2476
773,Q8NDY8,4378
774,Q9Y5I3,2572
775,Q92979,618
776,Q9P2M1,1524
777,P23368,719
778,Q9NZH0,9005
779,P01877,894
780,O95425,1861
781,Q15427,561
782,Q96NG3,1119
783,O00628,2628
784,Q3KRA9,763
785,P17542,1828
786,P56278,906
787,Q14739,9443
788,P55771,993
789,Q9BYC5,2116
790,Q5VVH2,660
791,Q9Y2Y8,1732
792,A0A0C4DH42,1989
793,Q8NFW1,1669
794,Q00994,809
795,H3BSY2,2637
796,Q107X0,844
797,Q2TB18,835
798,A8MSI8,1059
799,Q8N370,10067
800,O15225,1267
801,Q16890,1527
802,Q7Z6V5,1263
803,Q8N8Q1,7331
804,P55017,9137
805,Q5NDL2,2115
806,A0A1W2PQL4,1747
807,Q5H9K5,3009
808,Q5IJ48,2399
809,Q96N28,972
810,P21796,5960
811,O95343,2393
812,A0A1B0GTH6,1996
813,Q6ZTY9,2907
814,P0DKX4,3857
815,Q13724,2847
816,Q96PN8,588
817,P62877,2252
818,Q8NAP3,10038
819,Q7Z6W1,3483
820,O15231,2860
821,Q08462,10046
822,P13056,4213
823,P81534,1814
824,Q5T035,1630
825,O43711,1041
826,Q5T753,372
827,Q8N402,1011
828,P32926,2157
829,O14649,7458
830,Q8NFV5,2329
831,Q1RN00,2670
832,Q6SZW1,2415
833,P48052,2094
834,Q13042,1956
835,Q2QD12,423
836,Q8IZF7,8846
837,P08476,1243
838,P04264,2171
839,Q8NHY5,471
840,O43739,1043
841,Q9Y2Z4,2111
842,Q6IPX1,2293
843,Q8NDL9,1380
844,Q86UK5,3237
845,Q9H9R9,998
846,P40426,1971
847,Q96BQ3,2883
848,G5E9R7,2207
849,Q5JZY3,1884
850,Q5SRR4,2116
851,A6NIM6,12092
852,P19235,1878
853,A2IDD5,2214
854,P06315,1580
855,Q9H2A3,1674
856,Q16674,1849
857,Q9P2X0,4682
858,P52744,1252
859,Q92574,2353
860,Q9P2Y4,2202
861,Q7Z4L9,815
862,Q92560,2224
863,P35913,2708
864,Q8WWP7,3247
865,Q96GN5,1173
866,A1A4Y4,1802
867,Q99435,3290
868,P16112,2634
869,Q15369,1328
870,P01308,2130
871,A0A075B6N3,1742
872,Q9BUT1,1463
873,Q96P64,1797
874,Q7Z3D4,3266
875,Q9HBE4,1374
876,Q5VXI9,3425
877,Q9NSY0,3395
878,A6NI72,1457
879,P60709,1320
880,Q9NV29,3092
881,Q17RD7,2681
882,Q8WUF8,2147
883,A6NN14,2219
884,A0A1B0GTD5,1301
885,Q15382,965
886,P10588,1179
887,P61371,1061
888,Q8NCE0,1980
889,Q7Z6Z6,5513
890,Q16853,2069
891,P23142,1477
892,A8MT66,1048
893,S4R3Y5,1609
894,O75506,2122
895,Q9BW61,1461
896,Q68CK6,1090
897,P21741,1320
898,O95394,738
899,A6NEV1,2410
900,Q9UFD9,3176
901,A0A1B0GTE1,1581
902,Q96KT6,1923
903,Q14088,896
904,P20339,703
905,Q6P435,574
906,Q8IZJ4,5089
907,Q9UF12,2548
908,Q96I99,850
909,Q8TBZ6,484
910,Q8NFZ6,11180
911,P35052,1872
912,Q96P70,1247
913,P15382,3042
914,A8MTB9,1936
915,P0DP71,1633
916,A1L390,1956
917,Q8NDB2,2744
918,Q10588,2208
919,P46094,8731
920,Q969E2,5093
921,Q8NHU6,1795
922,Q6IPT2,2312
923,Q9Y2V7,1702
924,Q5T7N3,1795
925,Q9Y5P1,7101
926,Q9H0U4,956
927,O76027,830
928,P26006,3258
929,Q9NXI6,3493
930,O60645,2416
931,P26012,2365
932,Q6PJ69,3771
933,Q9UFG5,1894
934,Q9NZP6,1133
935,P0C7I6,1803
936,P05813,299
937,Q9Y5Q5,3370
938,Q9H2L4,6450
939,Q9P2U7,9952
940,P62888,1431
941,Q86UF2,3727
942,P62136,899
943,C9JQL5,3297
944,Q9Y2W3,10308
945,Q9GZR2,1445
946,Q96NI8,2469
947,Q5SWA1,3596
948,Q3SY00,1767
949,Q96MX3,839
950,Q9UBP8,834
951,P60866,751
952,Q9NY46,29240
953,Q9NPJ3,446
954,A0A0A0MS15,1561
955,P11047,4743
956,Q4W4Y0,1570
957,O95551,1647
958,Q8IYX3,2615
959,Q9H300,9058
960,Q9HCN3,8757
961,Q7L0L9,4621
962,Q07157,1960
963,Q9HAV7,1431
964,Q8NBN7,3111
965,P62917,1167
966,Q96QH8,1626
967,Q96HF1,1081
968,O95237,4948
969,H0UI37,1693
970,A0A1W2PPK0,3055
971,Q99569,1488
972,Q96A84,2874
973,Q13888,2236
974,Q3SXM0,1630
975,O60902,1783
976,Q02985,1221
977,P18077,979
978,A6NFE2,3685
979,Q495A1,1928
980,P25490,2954
981,P05026,2895
982,Q93050,12155
983,Q8NGQ1,7197
984,P02749,1377
985,Q9H8W5,1845
986,O43665,577
987,Q6VVB1,1942
988,Q6P582,2360
989,Q96MY7,1960
990,Q13136,1522
991,P49238,8992
992,P0C646,8582
993,O00748,1743
994,Q8TCQ1,4409
995,A0A0A0MS01,1356
996,P58335,4376
997,Q6NXT2,2147
998,O14715,3799
999,Q8NGS9,8171
1000,O43895,1681
1001,P42345,2720
1002,Q00604,1681
1003,Q9H6X5,1839
1004,Q14671,1811
1005,Q8WZ60,2147
1006,Q9UBS4,1616
1007,Q6P2I7,2287
1008,Q8IWV7,1127
1009,A6NMT0,1523
1010,Q9UGM6,1344
1011,P48668,2419
1012,Q6ZP68,3431
1013,Q14117,1384
1014,P52630,984
1015,Q8N9U9,2524
1016,Q9BX26,2539
1017,Q9UPN7,1429
1018,Q9Y6C2,3548
1019,Q8N7X1,2295
1020,A0A5K1VDZ0,2088
1021,Q9Y4Z2,2127
1022,Q9BSU3,657
1023,O15379,1375
1024,Q9Y6B6,1347
1025,Q96HD9,853
1026,P16066,2391
1027,Q9NUV9,1341
1028,Q99541,4823
1029,Q6Q8B3,2693
1030,Q9UET6,1614
1031,Q14103,603
1032,Q8WZ74,2361
1033,Q6P2H3,1157
1034,M0R2J8,1776
1035,Q96H12,1281
1036,Q9H4A5,637
1037,P02775,1520
1038,Q8NEJ9,2550
1039,Q00610,2076
1040,Q9BXF9,1454
1041,P62081,521
1042,Q6ZN18,3160
1043,P13693,651
1044,Q9BZP6,2206
1045,Q16099,7692
1046,Q9Y696,858
1047,Q9BQ67,1213
1048,Q9NPF0,2127
1049,O94854,1270
1050,Q96MT0,4660
1051,Q8IWY8,1376
1052,Q8TAD2,2599
1053,Q02952,1003
1054,P49589,2009
1055,Q96A47,1591
1056,A6NFH5,556
1057,Q5JPB2,1216
1058,P59942,2275
1059,Q6JQN1,1586
1060,Q86SE8,1545
1061,Q86T65,3043
1062,O15392,851
1063,Q8NBB4,3524
1064,Q9Y6M9,1413
1065,P52803,2918
1066,Q6NSI3,667
1067,P05783,2772
1068,F8W1W9,3163
1069,Q9NPG4,4524
1070,Q6AI12,2287
1071,Q5SQ64,2309
1072,Q8IYU4,4626
1073,Q8TAE6,646
1074,Q9NY91,11345
1075,Q8NEE6,2434
1076,O14926,970
1077,Q9BXI6,812
1078,Q9BZQ2,3523
1079,Q96Q04,2139
1080,O94868,1632
1081,Q9NW61,2941
1082,P0C875,3014
1083,C9JN71,1273
1084,Q8IWZ4,2674
1085,P20265,633
1086,Q9Y3Q3,2112
1087,A0A075B7D0,1246
1088,Q5VYM1,7120
1089,Q3ZCW2,653
1090,P55822,971
1091,P22314,1616
1092,Q96QG7,1664
1093,Q76LX8,2281
1094,Q8NBA8,812
1095,Q9UKT9,3002
1096,P11912,2071
1097,O60725,6485
1098,Q14CZ7,2262
1099,A0A1B0GUA9,922
1100,Q9Y6N5,1791
1101,Q8N7U6,1837
1102,Q9BV29,1741
1103,P54296,2640
1104,Q8NE31,1035
1105,Q6ZN30,2567
1106,P22466,3892
1107,Q8IUC4,1021
1108,Q9NPD8,562
1109,Q9NW75,968
1110,Q96MV8,7518
1111,Q6P2D0,4872
1112,P0DMV9,1651
1113,Q6IAA8,1623
1114,Q96C86,1398
1115,Q12980,1492
1116,P17152,3523
1117,P49748,3856
1118,P01730,2215
1119,O00238,2102
1120,Q6UXH0,2460
1121,Q9NUL7,1248
1122,P50219,1470
1123,A8K4G0,2186
1124,P05556,2412
1125,P25686,1060
1126,A7E2U8,1073
1127,Q9Y6X8,1141
1128,O43315,6457
1129,Q9H8N7,1794
1130,Q8NGH3,7794
1131,Q8NEP7,704
1132,P05230,730
1133,Q6IV72,2151
1134,P11245,758
1135,Q9NRJ1,2637
1136,P18507,6880
1137,Q9ULE6,1300
1138,A0A0B4J2E0,1489
1139,O95747,1789
1140,Q96MA1,1549
1141,Q6WBX8,1731
1142,Q8WV92,478
1143,P01042,2057
1144,Q9ULD2,1887
1145,P08700,1106
1146,Q9BZE7,1115
1147,Q8NGI7,7452
1148,Q7Z2V1,624
1149,P12980,1704
1150,Q9H116,4789
1151,Q3MIP1,4034
1152,P34947,804
1153,Q9UPT9,2291
1154,Q495Y7,1703
1155,Q9Y4A8,3597
1156,Q7Z7H3,1737
1157,O43301,664
1158,Q96C92,2518
1159,P07355,797
1160,Q9UL19,1770
1161,Q9NUM3,5720
1162,Q8IW92,1693
1163,Q400G9,1970
1164,Q9Y4C0,2065
1165,Q9BSL1,562
1166,A7E2V4,4903
1167,O75843,1485
1168,Q86X40,1982
1169,Q86SR1,1598
1170,Q9UGU0,2825
1171,A0A0B4J237,1498
1172,Q99757,605
1173,A0A2R8Y7D0,618
1174,O00204,1116
1175,P50225,622
1176,Q02577,2257
1177,P0DM63,5520
1178,Q5JUK9,1242
1179,Q96MC9,3235
1180,Q9UBK2,1432
1181,P11279,4185
1182,O00562,2832
1183,P84074,1655
1184,Q6PII3,2567
1185,O77932,631
1186,P00374,738
1187,O60296,1431
1188,Q5SVS4,7214
1189,Q6ZRC1,2358
1190,Q9HCU9,3260
1191,P54725,1488
1192,Q01718,7817
1193,Q5VYX0,988
1194,O14503,2515
1195,Q9Y3D2,1235
1196,Q16270,1328
1197,Q96AW1,3961
1198,P61952,665
1199,P49006,820
1200,P51649,1016
1201,Q13308,2295
1202,O60282,2480
1203,Q9UL25,1316
1204,Q9UGT4,2119
1205,Q14CN2,1572
1206,P49760,1017
1207,A6NC51,6337
1208,Q99743,2101
1209,Q6P7N7,2378
